kapitel,kapitel-text,jahr
3201,Kreditaufnahme,2020
3205,Verzinsung,2020
3208,"Bürgschaften, Garantien und sonstige Gewährleistungen",2020
6001,Steuern,2020
6002,Allgemeine Bewilligungen,2020
6003,Leistungen im Zusammenhang mit der deutschen Einheit,2020
6004,Bundesimmobilienangelegenheiten,2020
6067,Sonstige Versorgungsausgaben,2020
0101,Bundespräsident,2021
0111,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2021
0112,Bundespräsidialamt,2021
0113,Büro der Gemeinsamen Wissenschaftskonferenz,2021
0211,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2021
0212,Deutscher Bundestag,2021
0213,Die Wehrbeauftragte des Deutschen Bundestages,2021
0214,Bundesversammlung,2021
0215,Mitglieder des Europäischen Parlaments,2021
0216,Parlamentarische Kontrolle der Nachrichtendienste,2021
0217,Die/der Bundesbeauftragte für die Opfer der SED-Diktatur beim Deutschen Bundestag,2021
0311,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2021
0312,Bundesrat,2021
0410,Sonstige Bewilligungen,2021
0411,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben des Geschäftsbereichs des BKAmts,2021
0412,Bundeskanzlerin und Bundeskanzleramt,2021
0413,"Die Beauftragte der Bundesregierung für Migration, Flüchtlinge und Integration",2021
0414,Bundesnachrichtendienst,2021
0431,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben des Geschäftsbereichs des BPA,2021
0432,Presse- und Informationsamt der Bundesregierung,2021
0451,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben der BKM und des Geschäftsbereichs,2021
0452,Die Beauftragte der Bundesregierung für Kultur und Medien,2021
0453,Bundesarchiv,2021
0454,Bundesinstitut für Kultur und Geschichte der Deutschen im östlichen Europa,2021
0455,Der Bundesbeauftragte für die Unterlagen des Staatssicherheitsdienstes der ehemaligen DDR,2021
0456,Kunstverwaltung des Bundes,2021
0501,Sicherung von Frieden und Stabilität,2021
0502,Bilaterale Zusammenarbeit und Pflege der Auslandsbeziehungen,2021
0504,Pflege kultureller Beziehungen zum Ausland,2021
0511,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2021
0512,Bundesministerium,2021
0513,Deutsches Archäologisches Institut,2021
0514,Bundesamt für Auswärtige Angelegenheiten,2021
0601,"Heimat, Gesellschaft und Verfassung",2021
0602,"IT und Netzpolitik, Digitalfunk und Moderne Verwaltung",2021
0603,"Integration und Migration, Minderheiten und Vertriebene",2021
0604,Wohnungswesen und Stadtentwicklung,2021
0605,Hochbau- und Förderungsmaßnahmen in Berlin und Bonn,2021
0610,Sonstige Bewilligungen,2021
0611,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2021
0612,Bundesministerium,2021
0614,Statistisches Bundesamt,2021
0615,Bundesverwaltungsamt,2021
0616,Bundesamt für Kartographie und Geodäsie,2021
0617,Bundesinstitut für Bevölkerungsforschung,2021
0618,Bundesinstitut für Sportwissenschaft,2021
0619,Beschaffungsamt des BMI,2021
0620,Bundesamt für zentrale Dienste und offene Vermögensfragen mit Bundesausgleichsamt,2021
0621,Bundesamt für Bauwesen und Raumordnung,2021
0622,Zentrale Stelle für Informationstechnik im Sicherheitsbereich,2021
0623,Bundesamt für Sicherheit in der Informationstechnik,2021
0624,Bundeskriminalamt,2021
0625,Bundespolizei,2021
0626,Bundesamt für Verfassungsschutz,2021
0628,Bundesamt für Bevölkerungsschutz und Katastrophenhilfe,2021
0629,Bundesanstalt Technisches Hilfswerk,2021
0633,Bundesamt für Migration und Flüchtlinge,2021
0634,Hochschule des Bundes für öffentliche Verwaltung,2021
0635,Bundeszentrale für politische Bildung,2021
0701,Verbraucherpolitik,2021
0710,Sonstige Bewilligungen,2021
0711,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2021
0712,Bundesministerium,2021
